x,y,z
8,9,8
30,8,18
21,1,16
4,9,16
23,10,13
10,17,9
9,13,8
16,12,8
16,4,4
7,5,11
14,4,11
5,5,18
7,16,20
23,3,10
8,12,18
14,3,15
25,14,12
8,4,14
16,15,19
10,10,6
16,7,15
10,21,15
9,6,5
10,13,11
23,5,19
7,17,21
27,9,18
19,12,10
8,5,15
14,7,21
18,13,6
26,2,10
10,14,12
25,6,13
23,6,20
26,13,19
18,16,11
27,10,19
25,9,18
21,16,9
16,8,15
19,16,16
10,16,21
26,3,11
19,15,20
18,17,12
1,7,14
26,6,16
18,9,8
25,10,19
26,14,20
12,6,6
19,5,6
25,2,15
27,2,14
12,17,15
10,17,22
12,9,11
10,9,18
22,12,11
22,4,7
29,5,18
21,8,10
1,8,15
19,8,17
14,18,8
21,19,19
3,11,13
12,18,16
12,10,12
18,1,9
10,10,19
12,2,8
10,2,15
18,12,18
18,4,14
10,13,24
14,19,9
22,16,17
14,11,5
21,12,16
21,4,12
8,19,12
28,10,20
8,11,8
22,5,7
6,11,15
18,13,19
18,5,15
19,1,13
5,12,11
12,13,22
5,4,7
12,5,18
4,8,10
2,8,17
28,3,17
14,14,15
14,6,11
7,13,5
21,7,22
5,5,8
12,6,19
7,16,10
5,16,17
8,12,8
14,3,5
6,12,15
23,16,19
16,15,9
6,4,11
14,15,16
16,7,5
21,8,23
23,13,13
14,18,21
23,5,9
8,15,19
8,7,15
7,9,7
14,7,11
5,8,18
23,6,10
20,10,7
16,18,19
23,17,19
23,9,15
14,10,22
8,11,21
14,2,18
10,16,11
18,19,12
27,12,18
19,15,10
25,12,19
27,4,14
8,8,15
19,7,6
16,11,16
16,3,12
26,5,10
10,17,12
16,14,21
10,9,8
1,10,15
23,1,16
18,11,7
9,5,7
27,5,15
19,8,7
23,4,21
12,20,16
27,8,20
19,11,12
14,3,18
16,7,18
10,2,5
18,12,8
25,13,19
26,1,12
18,4,4
3,14,14
22,16,7
23,5,22
25,5,15
29,9,14
21,12,6
10,20,22
12,12,11
10,12,18
22,15,11
10,4,14
29,8,18
21,11,10
22,18,16
19,3,13
18,5,5
26,2,13
21,14,15
19,14,22
19,6,18
12,13,12
12,5,8
10,5,15
18,15,18
12,16,17
18,7,14
10,16,24
2,11,12
14,14,5
21,15,16
3,7,10
21,7,12
19,7,19
12,6,9
28,5,16
23,16,9
18,8,15
12,9,14
3,10,21
14,15,6
22,12,14
5,15,11
18,11,20
21,8,13
12,8,18
4,11,10
14,18,11
8,15,9
6,15,16
8,7,5
4,14,15
14,17,15
8,18,14
18,1,12
21,10,22
5,8,8
18,4,17
7,11,6
5,11,13
12,12,24
4,15,16
16,18,9
12,4,20
16,10,5
8,19,15
14,10,12
21,11,23
8,11,11
14,2,8
6,11,18
21,3,19
23,8,9
7,12,7
6,10,22
5,12,14
8,8,5
5,4,10
12,5,21
4,8,13
16,11,6
16,14,11
14,14,18
14,6,14
8,3,12
23,12,15
14,13,22
9,16,6
8,14,21
23,4,11
25,16,15
27,8,10
14,3,8
7,15,17
5,7,20
16,6,12
8,15,22
23,5,12
8,7,18
10,20,12
16,17,21
10,12,8
16,9,17
10,4,4
26,12,17
9,8,7
26,4,13
25,8,16
5,8,21
18,18,14
27,11,20
19,14,12
19,6,8
16,10,18
10,5,5
16,2,14
18,15,8
12,16,7
18,7,4
10,16,14
23,8,22
3,9,10
18,19,15
1,9,17
23,0,18
25,12,22
27,4,17
19,7,9
12,19,18
12,11,14
26,5,13
10,11,21
18,8,5
3,10,11
25,1,12
1,10,18
23,1,19
18,11,10
28,9,13
12,8,8
10,8,15
12,20,19
22,14,13
21,18,16
18,14,21
21,10,12
19,10,19
21,2,8
19,2,15
12,12,14
18,3,11
10,12,21
12,4,10
22,15,14
3,5,17
10,4,17
21,11,13
21,3,9
22,18,19
19,3,16
21,14,18
5,14,14
6,10,12
12,7,21
19,6,21
3,6,18
18,15,21
18,7,17
14,6,4
4,10,12
6,3,9
14,13,12
5,18,20
8,14,11
14,5,8
16,13,5
21,6,19
16,16,10
14,16,17
5,15,14
23,15,16
5,7,10
12,8,21
23,7,12
8,7,8
4,14,18
16,17,11
7,18,18
14,17,18
16,9,7
14,9,14
24,14,19
5,10,21
8,6,12
20,13,6
8,17,21
8,9,17
7,11,9
10,15,9
23,11,18
16,10,8
10,18,14
16,2,4
14,2,11
4,6,19
7,14,20
23,8,12
8,10,18
25,12,12
16,12,17
14,12,24
9,11,7
14,4,20
10,19,15
25,11,16
7,3,10
10,11,11
27,3,11
23,3,19
27,6,16
19,9,8
8,3,15
16,13,18
10,8,5
16,5,14
14,5,21
26,8,14
16,16,23
25,4,13
1,12,17
18,14,11
9,7,9
27,7,17
19,10,9
25,7,18
19,2,5
16,6,15
10,14,21
3,13,11
16,9,20
26,12,20
29,8,11
26,4,16
25,8,19
10,3,11
18,18,17
29,11,16
12,15,15
10,15,22
12,7,11
10,7,18
18,17,21
21,13,12
19,13,19
19,5,15
18,7,7
22,13,16
3,9,13
25,0,14
12,19,21
18,10,18
21,6,9
12,11,17
18,2,14
14,16,7
21,17,18
21,9,14
19,9,21
6,5,8
12,8,11
6,16,17
28,8,20
22,3,7
23,18,11
24,14,9
22,14,16
14,9,4
18,14,24
5,10,11
21,10,15
21,2,11
12,3,18
8,17,11
5,13,16
6,17,18
8,9,7
4,9,15
18,3,14
23,11,8
24,15,17
7,14,10
2,6,16
5,14,17
8,10,8
16,20,11
14,20,18
16,12,7
14,12,14
16,4,3
14,4,10
21,5,21
23,3,9
25,14,11
23,14,18
4,10,15
16,13,8
16,5,4
14,5,11
16,16,13
7,17,20
8,13,18
25,15,12
8,5,14
23,7,15
10,14,11
7,18,21
27,10,18
8,6,15
21,16,8
16,8,14
19,16,15
14,8,21
8,9,20
26,3,10
10,15,12
10,7,8
18,17,11
26,14,19
26,6,15
18,9,7
10,18,17
19,13,9
19,5,5
25,10,18
25,2,14
27,2,13
29,6,13
16,12,20
16,4,16
1,8,14
26,7,16
18,10,8
9,3,6
25,11,19
18,2,4
3,11,12
25,3,15
27,3,14
12,18,15
27,6,19
12,10,11
19,9,11
10,10,18
10,2,14
10,13,23
22,16,16
3,12,13
14,11,4
21,12,15
19,12,22
28,11,15
12,3,8
28,10,19
18,13,18
12,14,17
18,5,14
